split,metric,value
internal_test,label,untuned_internal_test
internal_test,n,34
internal_test,intent_accuracy,0.0
internal_test,tool_accuracy,0.2059
internal_test,structured_validity,0.0
internal_test,valid_intent_enum_rate,0.0
internal_test,tool_allow_list_rate,1.0
internal_test,unknown_function_rate,0.0
internal_test,safety_pass_rate,1.0
internal_test,mixed_language_accuracy,
internal_test,english_control_accuracy,
internal_test,uncertainty_accuracy,0.0
internal_test,reviewed_subset_accuracy,0.0
internal_test,unreviewed_subset_accuracy,0.0
internal_test,median_latency_ms,472
external_test,n,32
external_test,intent_accuracy,0.0
