test_set,metric,untuned_e2b,v1_tuned_e2b,v2_tuned_e2b,hosted_26b
internal_v1_34,intent_accuracy,0.0,0.7353,0.8529,0.7059
internal_v1_34,tool_accuracy,0.2059,0.5882,0.5882,0.5
internal_v1_34,structured_validity,0.0,1.0,1.0,0.9706
internal_v1_34,valid_intent_enum_rate,0.0,1.0,1.0,0.9706
internal_v1_34,unknown_function_rate,0.0,0.0,0.0,0.0
internal_v1_34,safety_pass_rate,1.0,1.0,1.0,1.0
internal_v1_34,median_latency_ms,484,4438,4828,18546
external_32,intent_accuracy,0.0,0.75,0.7812,
challenge_24,intent_accuracy,,,0.7083,
challenge_24,tool_accuracy,,,0.625,
challenge_24,structured_validity,,,1.0,
challenge_24,safety_pass_rate,,,1.0,
challenge_24,mixed_language_accuracy,,,1.0,
challenge_24,median_latency_ms,,,4789,
internal_v1_34,make_declaration_precision,,1.0,1.0,
internal_v1_34,make_declaration_recall,,0.4545,1.0,
internal_v1_34,make_declaration_f1,,0.625,1.0,
